Categoria,Cultivar,Quantidade (KG),Total_Categoria,Ano
BRANCAS E ROSADAS,Niagara Branca,0.0,0.0,1972
BRANCAS E ROSADAS,Niagara Rosada,0.0,0.0,1972
BRANCAS E ROSADAS,Poloske,0.0,0.0,1972
BRANCAS E ROSADAS,Seleções,0.0,0.0,1972
BRANCAS E ROSADAS,Seyve Villard,145444.0,0.0,1972
BRANCAS E ROSADAS,Seyve Villard 5276,0.0,0.0,1972
BRANCAS E ROSADAS,Seyve Villard 12375,0.0,0.0,1972
BRANCAS E ROSADAS,Tardia de Caxias,0.0,0.0,1972
BRANCAS E ROSADAS,Outras(2),0.0,0.0,1972
TINTAS_TOTAL,,0.0,161593877.0,1973
TINTAS,Bacarina,58690.0,0.0,1973
TINTAS,Bailey,0.0,0.0,1973
TINTAS,Bordo,5584243.0,0.0,1973
TINTAS,Bourdin (S),0.0,0.0,1973
TINTAS,BRS Carmen,0.0,0.0,1973
TINTAS,BRS Cora,0.0,0.0,1973
TINTAS,BRS Magna,0.0,0.0,1973
TINTAS,BRS Margot,0.0,0.0,1973
TINTAS,BRS Morena,0.0,0.0,1973
TINTAS,BRS Núbia,0.0,0.0,1973
TINTAS,BRS Rúbea,0.0,0.0,1973
TINTAS,BRS Violeta,0.0,0.0,1973
TINTAS,BRS Vitória,0.0,0.0,1973
TINTAS,Champagnon (Champanheta),0.0,0.0,1973
TINTAS,Coleções,0.0,0.0,1973
TINTAS,Concord,1850704.0,0.0,1973
TINTAS,Concord clone 30,0.0,0.0,1973
TINTAS,Couderc,2602220.0,0.0,1973
TINTAS,Cynthiana(1),360571.0,0.0,1973
TINTAS,Herbemont,33214347.0,0.0,1973
TINTAS,IAC 138022,0.0,0.0,1973
TINTAS,Isabel,109787700.0,0.0,1973
TINTAS,Isabel Precoce,0.0,0.0,1973
TINTAS,Jacquez,302686.0,0.0,1973
TINTAS,Kyoko,0.0,0.0,1973
TINTAS,Landot,80995.0,0.0,1973
TINTAS,Mistura de uvas americanas tinto,0.0,0.0,1973
TINTAS,Oberlin,9483.0,0.0,1973
TINTAS,Othello,17358.0,0.0,1973
TINTAS,Paco,0.0,0.0,1973
TINTAS,Patricia,0.0,0.0,1973
TINTAS,Seibel,7724880.0,0.0,1973
TINTAS,Seibel 2 (seibeleto),0.0,0.0,1973
